Job Desc,Profile,Count,Matching title,Not matching title,Matching languages,Not matching languages,Matching Skills,Not matching Skills,Matching duration,Not matching duration,Matching work regime,Not matching work regime,Matching location,Not matching location,Matching industry,Not matching industry,Matching daily rate,Not matching daily rate,Matching company size,Not matching company size,Matching tech objectives,Not matching tech objectives,Matching availability,Not matching availability,Matching mission constraint,Not matching mision constraint
 ,Profile 39,16,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology,650, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 31,16, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology,600, ,Micro (1-10 employees), ,python talend ,data mining ,Availability, ,Time constraint, 
 ,Profile 25,16,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology,650, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 16,16,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology,500, , ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 47,15,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology, ,700,Micro (1-10 employees), ,,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 40,15, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology,650, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 27,15,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology,600, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 22,15, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology,550, ,Micro (1-10 employees), ,,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 2,15, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology,600, ,Micro (1-10 employees), ,,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 9,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,750, ,Medium (50-250 employees),python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 50,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology, ,900, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 5,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology, ,800, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 49,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology,650, , ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 46,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology, ,950, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 45,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, , ,Full-time,Remote, ,Technology, , ,750, ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 42,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology,650, , ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 41,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, ,Technology, , ,950, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 36,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology,550, , ,Medium (50-250 employees),python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 33,14,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology,500, , ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 30,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, , ,Full-time,Remote, , ,Technology, ,750,Micro (1-10 employees), ,python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 21,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, , ,Full-time,Remote, ,Technology, , ,700,Micro (1-10 employees), ,,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 19,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,1000,Micro (1-10 employees), ,python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 14,14, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology,650, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 11,14,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,850, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 7,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology,550, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 44,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,800, ,Large (250+ employees),python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 43,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,850, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 4,13,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,700, ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 38,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology,600, ,Micro (1-10 employees), ,,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 37,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology,650, , ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 32,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology,500, , ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 29,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, ,Technology, , ,900, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 28,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 ,551 days, , ,Full-time,Remote, , ,Technology, ,750, ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 26,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,950, ,Small (10 - 50 employees),data mining ,python talend ,Availability, ,Time constraint, 
 ,Profile 23,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,850, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 20,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,850, ,Large (250+ employees),python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 18,13,Artificial Intelligence Engineer, ,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,750, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 17,13, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,950,Micro (1-10 employees), ,,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 6,12, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,700, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 34,12, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,950, ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 3,12, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,850, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 10,12, ,Artificial Intelligence Engineer,English ,Slovenian,,sql 4 django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,950, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
Job desc 6,Profile 45,20,Database Administrator, ,English ,Tamil,tableau 1 tableau 4 ,machine learning 2 excel 3 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,750, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 18,20, ,Database Administrator,English ,Tamil,machine learning 2 tableau 1 ,excel 3 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, ,Defense & Spatial, ,750, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 24,19, ,Database Administrator,English ,Tamil,tableau 1 tableau 4 ,machine learning 2 excel 3 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,850, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 44,17, ,Database Administrator,English ,Tamil,machine learning 2 ,excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, ,Defense & Spatial, ,800, , ,Large (250+ employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 7,16,Database Administrator, ,English ,Tamil,data warehouse 5 ,machine learning 2 excel 3 tableau 1 tableau 4 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,550, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 20,16, ,Database Administrator,English ,Tamil,excel 3 ,machine learning 2 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,850, , ,Large (250+ employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 43,15,Database Administrator, ,English ,Tamil,tableau 1 ,machine learning 2 excel 3 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,850, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 37,15,Database Administrator, ,English ,Tamil,machine learning 2 ,excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,650, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 21,15,Database Administrator, ,English Tamil , ,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,700, , ,Micro (1-10 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 49,14, ,Database Administrator,English ,Tamil,data warehouse 5 ,machine learning 2 excel 3 tableau 1 tableau 4 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,650, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 42,14,Database Administrator, ,English ,Tamil,excel 3 ,machine learning 2 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,650, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 40,14, ,Database Administrator,English ,Tamil,tableau 1 ,machine learning 2 excel 3 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, ,Defense & Spatial, ,650, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 38,14, ,Database Administrator,English ,Tamil,data warehouse 5 ,machine learning 2 excel 3 tableau 1 tableau 4 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,600, , ,Micro (1-10 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 27,13, ,Database Administrator,English ,Tamil,machine learning 2 ,excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,600, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 22,13, ,Database Administrator,English ,Tamil,excel 3 ,machine learning 2 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,550, , ,Micro (1-10 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 2,13, ,Database Administrator,English ,Tamil,machine learning 2 ,excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,600, , ,Micro (1-10 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 6,12,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,700, ,Small (10 - 50 employees), ,html ,python statistics ,Availability, , ,Expertise constraint
 ,Profile 33,11,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,500, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 32,11, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,500, , ,Large (250+ employees),statistics ,html python ,Availability, , ,Expertise constraint
 ,Profile 30,11,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,750, , ,Micro (1-10 employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 3,11,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,850, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 26,11,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,950, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 9,10, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,750, , ,Medium (50-250 employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 8,10,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,950, , ,Medium (50-250 employees),html ,python statistics ,Availability, , ,Expertise constraint
 ,Profile 4,10,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,700, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 36,10, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,550, , ,Medium (50-250 employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 34,10, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, ,Part-time, ,Remote, , ,Defense & Spatial,950, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 31,10, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,600, , ,Micro (1-10 employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 19,10,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial, ,1000, ,Micro (1-10 employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 48,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,750, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 47,9,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,700, , ,Micro (1-10 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 41,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,950, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 35,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,800, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 29,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,900, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 28,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,750, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 25,9,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,650, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 23,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,850, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 17,9,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,950, , ,Micro (1-10 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 15,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,550, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 12,9,Database Administrator, ,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,700, , ,Large (250+ employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 11,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 ,283 days, , ,Part-time,Remote, , ,Defense & Spatial,850, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 10,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days,Part-time, ,Remote, , ,Defense & Spatial,950, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 1,9, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,600, , ,Large (250+ employees),python ,html statistics ,Availability, , ,Expertise constraint
 ,Profile 50,8, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,900, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 5,8, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,800, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 46,8, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,950, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 39,8, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,650, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 16,8, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,500, ,Small (10 - 50 employees), ,,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 14,8, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial,650, , ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
 ,Profile 13,7, ,Database Administrator,English ,Tamil,,machine learning 2 excel 3 tableau 1 tableau 4 data warehouse 5 , ,283 days, ,Part-time,Remote, , ,Defense & Spatial, ,1000, ,Medium (50-250 employees),,html python statistics ,Availability, , ,Expertise constraint
Job desc 7,Profile 29,27,Data Engineer, ,English ,Malay,nosql 2 python 6 ,c++ 2 data warehousing 4 react 5 ,195 days, ,Part-time, ,Remote, ,Technology, ,900, ,Small (10 - 50 employees), ,,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 15,25,Data Engineer, ,English ,Malay,c++ 2 python 6 ,nosql 2 data warehousing 4 react 5 , ,195 days,Part-time, ,Remote, , ,Technology,550, , ,Large (250+ employees),,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 1,25,Data Engineer, ,English ,Malay,c++ 2 python 6 ,nosql 2 data warehousing 4 react 5 ,195 days, , ,Part-time,Remote, , ,Technology,600, , ,Large (250+ employees),,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 9,20,Data Engineer, ,English ,Malay,python 6 ,nosql 2 c++ 2 data warehousing 4 react 5 ,195 days, , ,Part-time,Remote, , ,Technology,750, , ,Medium (50-250 employees),,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 6,20, ,Data Engineer,English ,Malay,nosql 2 ,c++ 2 data warehousing 4 python 6 react 5 ,195 days, ,Part-time, ,Remote, , ,Technology,700, ,Small (10 - 50 employees), ,,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 41,20, ,Data Engineer,English ,Malay,c++ 2 ,nosql 2 data warehousing 4 python 6 react 5 ,195 days, , ,Part-time,Remote, ,Technology, ,950, ,Small (10 - 50 employees), ,,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 36,20, ,Data Engineer,English ,Malay,nosql 2 ,c++ 2 data warehousing 4 python 6 react 5 ,195 days, ,Part-time, ,Remote, , ,Technology,550, , ,Medium (50-250 employees),,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 23,20,Data Engineer, ,English ,Malay,react 5 ,nosql 2 c++ 2 data warehousing 4 python 6 ,195 days, , ,Part-time,Remote, , ,Technology,850, , ,Medium (50-250 employees),,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 35,17,Data Engineer, ,English ,Malay,,nosql 2 c++ 2 data warehousing 4 python 6 react 5 ,195 days, ,Part-time, ,Remote, , ,Technology,800, ,Small (10 - 50 employees), ,data analytics ,sql scala ,Availability, ,Time constraint, 
 ,Profile 49,16,Data Engineer, ,English ,Malay,,nosql 2 c++ 2 data warehousing 4 python 6 react 5 ,195 days, , ,Part-time,Remote, , ,Technology,650, ,Small (10 - 50 employees), ,sql ,data analytics scala ,Availability, ,Time constraint, 
 ,Profile 44,16,Data Engineer, ,English ,Malay,,nosql 2 c++ 2 data warehousing 4 python 6 react 5 ,195 days, ,Part-time, ,Remote, , ,Technology,800, , ,Large (250+ employees),,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 34,16, ,Data Engineer,English ,Malay,,nosql 2 c++ 2 data warehousing 4 python 6 react 5 ,195 days, ,Part-time, ,Remote, , ,Technology,950, , ,Large (250+ employees),scala ,sql data analytics ,Availability, ,Time constraint, 
 ,Profile 26,16,Data Engineer, ,English ,Malay,,nosql 2 c++ 2 data warehousing 4 python 6 react 5 ,195 days, ,Part-time, ,Remote, , ,Technology,950, ,Small (10 - 50 employees), ,,sql data analytics scala ,Availability, ,Time constraint, 
 ,Profile 21,16,Data Engineer, ,English ,Malay,data warehousing 4 ,nosql 2 c++ 2 python 6 react 5 , ,195 days,Part-time, ,Remote, ,Technology, ,700, , ,Micro (1-10 employees),scala ,sql data analytics , ,Availability, ,Time constraint
